province,country,latitude,longitude,confirmed_cases,deaths,recovered,update_time,data_source,country_code,region,country_flag
Jiangxi,China,35.86166,104.195397,36,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Shanghai,China,35.86166,104.195397,33,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Guangxi,China,35.86166,104.195397,33,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Henan,China,35.86166,104.195397,32,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Sichuan,China,35.86166,104.195397,28,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Shandong,China,35.86166,104.195397,27,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Hainan,China,35.86166,104.195397,19,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Fujian,China,35.86166,104.195397,18,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Jiangsu,China,35.86166,104.195397,18,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Liaoning,China,35.86166,104.195397,16,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Shaanxi,China,35.86166,104.195397,15,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Yunnan,China,35.86166,104.195397,11,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Tianjin,China,35.86166,104.195397,10,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Heilongjiang,China,35.86166,104.195397,9,1,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Shanxi,China,35.86166,104.195397,9,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Hebei,China,35.86166,104.195397,8,1,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Guizhou,China,35.86166,104.195397,5,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Hong Kong,China,35.86166,104.195397,5,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
,Thailand,15.870032,100.992541,5,0,,2020-01-25 17:05:00,bno,THA,Asia,https://www.countryflags.io/th/flat/64.png
Jilin,China,35.86166,104.195397,4,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
,Singapore,1.352083,103.819836,4,0,,2020-01-25 17:05:00,bno,SGP,Asia,https://www.countryflags.io/sg/flat/64.png
,Malaysia,4.210484,101.975766,4,0,,2020-01-25 17:05:00,bno,MYS,Asia,https://www.countryflags.io/my/flat/64.png
,Australia,-25.274398,133.775136,4,0,,2020-01-25 17:05:00,bno,AUS,Oceania,https://www.countryflags.io/au/flat/64.png
Xinjiang,China,35.86166,104.195397,3,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Ningxia,China,35.86166,104.195397,3,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Taiwan,China,35.86166,104.195397,3,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
,France,46.227638,2.213749,3,0,,2020-01-25 17:05:00,bno,FRA,Europe,https://www.countryflags.io/fr/flat/64.png
,Japan,36.204824,138.252924,3,0,,2020-01-25 17:05:00,bno,JPN,Asia,https://www.countryflags.io/jp/flat/64.png
Gansu,China,35.86166,104.195397,2,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Inner Mongolia,China,35.86166,104.195397,2,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Macau,China,35.86166,104.195397,2,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
,South Korea,35.907757,127.766922,2,0,,2020-01-25 17:05:00,bno,KOR,Asia,https://www.countryflags.io/kr/flat/64.png
,United States,37.09024,-95.712891,2,0,,2020-01-25 17:05:00,bno,USA,Americas,https://www.countryflags.io/us/flat/64.png
,Vietnam,14.058324,108.277199,2,0,,2020-01-25 17:05:00,bno,VNM,Asia,https://www.countryflags.io/vn/flat/64.png
Qinghai,China,35.86166,104.195397,1,0,,2020-01-25 17:05:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
,Nepal,28.394857,84.124008,1,0,,2020-01-25 17:05:00,bno,NPL,Asia,https://www.countryflags.io/np/flat/64.png
Hubei,China,35.86166,104.195397,729,40,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Guangdong,China,35.86166,104.195397,78,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Zhejiang,China,35.86166,104.195397,62,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Chongqing,China,35.86166,104.195397,57,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Hunan,China,35.86166,104.195397,43,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Anhui,China,35.86166,104.195397,39,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Beijing,China,35.86166,104.195397,36,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Shanghai,China,35.86166,104.195397,33,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Henan,China,35.86166,104.195397,32,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Sichuan,China,35.86166,104.195397,28,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Shandong,China,35.86166,104.195397,27,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Guangxi,China,35.86166,104.195397,23,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Jiangxi,China,35.86166,104.195397,18,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Fujian,China,35.86166,104.195397,18,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Jiangsu,China,35.86166,104.195397,18,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Hainan,China,35.86166,104.195397,17,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Shaanxi,China,35.86166,104.195397,15,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Liaoning,China,35.86166,104.195397,15,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Tianjin,China,35.86166,104.195397,9,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Heilongjiang,China,35.86166,104.195397,9,1,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Hebei,China,35.86166,104.195397,8,1,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Shanxi,China,35.86166,104.195397,6,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Yunnan,China,35.86166,104.195397,5,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Hong Kong,China,35.86166,104.195397,5,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
,Thailand,15.870032,100.992541,5,0,,2020-01-25 03:16:00,bno,THA,Asia,https://www.countryflags.io/th/flat/64.png
Guizhou,China,35.86166,104.195397,4,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Jilin,China,35.86166,104.195397,4,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
,Australia,-25.274398,133.775136,4,0,,2020-01-25 03:16:00,bno,AUS,Oceania,https://www.countryflags.io/au/flat/64.png
Xinjiang,China,35.86166,104.195397,3,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Ningxia,China,35.86166,104.195397,3,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Taiwan,China,35.86166,104.195397,3,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
,Singapore,1.352083,103.819836,3,0,,2020-01-25 03:16:00,bno,SGP,Asia,https://www.countryflags.io/sg/flat/64.png
,France,46.227638,2.213749,3,0,,2020-01-25 03:16:00,bno,FRA,Europe,https://www.countryflags.io/fr/flat/64.png
,Malaysia,4.210484,101.975766,3,0,,2020-01-25 03:16:00,bno,MYS,Asia,https://www.countryflags.io/my/flat/64.png
,Japan,36.204824,138.252924,3,0,,2020-01-25 03:16:00,bno,JPN,Asia,https://www.countryflags.io/jp/flat/64.png
Gansu,China,35.86166,104.195397,2,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Macau,China,35.86166,104.195397,2,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
,South Korea,35.907757,127.766922,2,0,,2020-01-25 03:16:00,bno,KOR,Asia,https://www.countryflags.io/kr/flat/64.png
,United States,37.09024,-95.712891,2,0,,2020-01-25 03:16:00,bno,USA,Americas,https://www.countryflags.io/us/flat/64.png
,Vietnam,14.058324,108.277199,2,0,,2020-01-25 03:16:00,bno,VNM,Asia,https://www.countryflags.io/vn/flat/64.png
Inner Mongolia,China,35.86166,104.195397,1,0,,2020-01-25 03:16:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
,Nepal,28.394857,84.124008,1,0,,2020-01-25 03:16:00,bno,NPL,Asia,https://www.countryflags.io/np/flat/64.png
Hubei,China,35.86166,104.195397,729,40,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Guangdong,China,35.86166,104.195397,78,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Zhejiang,China,35.86166,104.195397,62,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Chongqing,China,35.86166,104.195397,57,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Hunan,China,35.86166,104.195397,43,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Anhui,China,35.86166,104.195397,39,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Beijing,China,35.86166,104.195397,36,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Shanghai,China,35.86166,104.195397,33,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Henan,China,35.86166,104.195397,32,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Sichuan,China,35.86166,104.195397,28,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Shandong,China,35.86166,104.195397,27,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Guangxi,China,35.86166,104.195397,23,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Jiangxi,China,35.86166,104.195397,18,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Fujian,China,35.86166,104.195397,18,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Jiangsu,China,35.86166,104.195397,18,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Hainan,China,35.86166,104.195397,17,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Shaanxi,China,35.86166,104.195397,15,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Liaoning,China,35.86166,104.195397,15,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Tianjin,China,35.86166,104.195397,10,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Heilongjiang,China,35.86166,104.195397,9,1,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Hebei,China,35.86166,104.195397,8,1,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Shanxi,China,35.86166,104.195397,6,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Yunnan,China,35.86166,104.195397,5,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Guizhou,China,35.86166,104.195397,5,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Hong Kong,China,35.86166,104.195397,5,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
,Thailand,15.870032,100.992541,5,0,,2020-01-25 05:20:00,bno,THA,Asia,https://www.countryflags.io/th/flat/64.png
Jilin,China,35.86166,104.195397,4,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
,Australia,-25.274398,133.775136,4,0,,2020-01-25 05:20:00,bno,AUS,Oceania,https://www.countryflags.io/au/flat/64.png
Xinjiang,China,35.86166,104.195397,3,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Ningxia,China,35.86166,104.195397,3,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Taiwan,China,35.86166,104.195397,3,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
,Singapore,1.352083,103.819836,3,0,,2020-01-25 05:20:00,bno,SGP,Asia,https://www.countryflags.io/sg/flat/64.png
,France,46.227638,2.213749,3,0,,2020-01-25 05:20:00,bno,FRA,Europe,https://www.countryflags.io/fr/flat/64.png
,Malaysia,4.210484,101.975766,3,0,,2020-01-25 05:20:00,bno,MYS,Asia,https://www.countryflags.io/my/flat/64.png
,Japan,36.204824,138.252924,3,0,,2020-01-25 05:20:00,bno,JPN,Asia,https://www.countryflags.io/jp/flat/64.png
Gansu,China,35.86166,104.195397,2,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Inner Mongolia,China,35.86166,104.195397,2,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Macau,China,35.86166,104.195397,2,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
,South Korea,35.907757,127.766922,2,0,,2020-01-25 05:20:00,bno,KOR,Asia,https://www.countryflags.io/kr/flat/64.png
,United States,37.09024,-95.712891,2,0,,2020-01-25 05:20:00,bno,USA,Americas,https://www.countryflags.io/us/flat/64.png
,Vietnam,14.058324,108.277199,2,0,,2020-01-25 05:20:00,bno,VNM,Asia,https://www.countryflags.io/vn/flat/64.png
Qinghai,China,35.86166,104.195397,1,0,,2020-01-25 05:20:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
,Nepal,28.394857,84.124008,1,0,,2020-01-25 05:20:00,bno,NPL,Asia,https://www.countryflags.io/np/flat/64.png
Hubei,China,35.86166,104.195397,729,40,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Guangdong,China,35.86166,104.195397,78,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Zhejiang,China,35.86166,104.195397,62,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Chongqing,China,35.86166,104.195397,57,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Hunan,China,35.86166,104.195397,43,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Beijing,China,35.86166,104.195397,41,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Anhui,China,35.86166,104.195397,39,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Shanghai,China,35.86166,104.195397,33,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Henan,China,35.86166,104.195397,32,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Sichuan,China,35.86166,104.195397,28,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Shandong,China,35.86166,104.195397,27,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Guangxi,China,35.86166,104.195397,23,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Jiangxi,China,35.86166,104.195397,18,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Fujian,China,35.86166,104.195397,18,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Jiangsu,China,35.86166,104.195397,18,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Hainan,China,35.86166,104.195397,17,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Liaoning,China,35.86166,104.195397,16,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Shaanxi,China,35.86166,104.195397,15,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Yunnan,China,35.86166,104.195397,11,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Tianjin,China,35.86166,104.195397,10,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Heilongjiang,China,35.86166,104.195397,9,1,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Hebei,China,35.86166,104.195397,8,1,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Shanxi,China,35.86166,104.195397,6,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Guizhou,China,35.86166,104.195397,5,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Hong Kong,China,35.86166,104.195397,5,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
,Thailand,15.870032,100.992541,5,0,,2020-01-25 04:58:00,bno,THA,Asia,https://www.countryflags.io/th/flat/64.png
Jilin,China,35.86166,104.195397,4,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
,Australia,-25.274398,133.775136,4,0,,2020-01-25 04:58:00,bno,AUS,Oceania,https://www.countryflags.io/au/flat/64.png
Xinjiang,China,35.86166,104.195397,3,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Ningxia,China,35.86166,104.195397,3,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Taiwan,China,35.86166,104.195397,3,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
,Singapore,1.352083,103.819836,3,0,,2020-01-25 04:58:00,bno,SGP,Asia,https://www.countryflags.io/sg/flat/64.png
,France,46.227638,2.213749,3,0,,2020-01-25 04:58:00,bno,FRA,Europe,https://www.countryflags.io/fr/flat/64.png
,Malaysia,4.210484,101.975766,3,0,,2020-01-25 04:58:00,bno,MYS,Asia,https://www.countryflags.io/my/flat/64.png
,Japan,36.204824,138.252924,3,0,,2020-01-25 04:58:00,bno,JPN,Asia,https://www.countryflags.io/jp/flat/64.png
Gansu,China,35.86166,104.195397,2,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Inner Mongolia,China,35.86166,104.195397,2,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
Macau,China,35.86166,104.195397,2,0,,2020-01-25 04:58:00,bno,CHN,Asia,https://www.countryflags.io/cn/flat/64.png
